is_player,ai_controlled,driver_name,team,race_number,lap,lap_time_s,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,num_pit_stops,pit_stop_time_ms,lap_invalid,grid_position,stint,speed_kmh,throttle,steer,brake,gear,rpm,drs,brake_temp_rl,brake_temp_rr,brake_temp_fl,brake_temp_fr,tyre_surf_rl,tyre_surf_rr,tyre_surf_fl,tyre_surf_fr,tyre_inner_rl,tyre_inner_rr,tyre_inner_fl,tyre_inner_fr,engine_temp,tyre_press_rl,tyre_press_rr,tyre_press_fl,tyre_press_fr,weather,track_temp_c,air_temp_c,total_laps,track_length_m,safety_car,fuel_in_tank,fuel_remaining_laps,actual_compound,visual_compound,tyres_age_laps,ers_store_energy,ers_deploy_mode,ers_deployed,tyre_wear_rl,tyre_wear_rr,tyre_wear_fl,tyre_wear_fr,tyre_dmg_rl,tyre_dmg_rr,tyre_dmg_fl,tyre_dmg_fr,front_wing_l,front_wing_r,rear_wing,gearbox_damage,car_idx
False,True,James,team=41,11,30,91.869,91869,32303,19563,40003,9,1,0,0,18,3,284,1.0,-0.001,0.0,7,11361,0,367,368,411,414,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,2056,Unknown,61.991,7.57,Medium,Medium,8,3730319.0,1,1538409.8,0.0,0.0,0.0,0.0,31,27,65,122,252,139,64,0,15
False,True,DJ Jörssi™,team=41,2,30,93.113,93113,33558,19596,39959,10,2,0,0,16,5,284,1.0,0.001,0.0,7,11382,0,361,362,406,409,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,1288,Unknown,61.903,7.52,Medium,Medium,4,3758320.8,1,1406898.1,0.0,0.0,0.0,0.0,64,60,103,147,64,5,4,0,13
False,True,dave,team=41,29,30,91.541,91541,32396,19418,39727,11,3,0,0,17,6,284,1.0,0.002,0.0,7,11379,0,368,370,412,414,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,59144,Unknown,60.22,6.55,Medium,Medium,7,3761973.2,1,1553026.6,0.0,0.0,0.0,0.0,202,113,10,65,55,144,122,0,16
False,True,pedrogabrielbarbosa,team=41,2,31,89.868,89868,31415,19047,39406,1,1,0,0,2,3,295,1.0,0.005,0.0,8,10534,1,374,375,422,425,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,3080,Unknown,59.3,7.02,Medium,Medium,13,3828012.8,1,1523068.1,18.36,16.25,11.83,8.66,18,16,11,8,0,0,0,0,0
False,True,ingo,team=41,8,31,90.142,90142,31433,19718,38991,2,1,0,0,4,3,286,1.0,-0.001,0.0,7,11483,0,377,378,421,424,80,80,80,80,80,80,80,80,110,21.3,21.3,24.2,24.2,Clear,29,20,58,2824,Unknown,57.747,6.13,Soft,Soft,13,3728646.2,1,1634062.1,100.0,0.0,100.0,0.0,47,65,24,21,0,0,0,0,2
False,True,JackWasAlive,team=41,2,31,91.189,91189,32491,19571,39127,3,1,0,0,3,3,286,1.0,-0.001,0.0,7,11453,0,373,374,418,420,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,1800,Unknown,59.462,7.12,Medium,Medium,15,3691480.2,1,1624003.5,0.0,0.0,100.0,0.0,65,20,17,13,0,0,0,0,1
False,True,hester,team=41,24,31,90.022,90022,31667,19443,38912,4,1,0,0,8,3,286,1.0,0.001,0.0,7,11430,0,380,381,424,426,90,90,90,90,90,90,90,90,110,21.3,21.3,24.2,24.2,Clear,29,20,58,60936,Unknown,57.743,6.12,Hard,Hard,10,3728101.5,1,1645851.4,0.0,100.0,0.0,0.0,216,64,106,142,0,0,0,0,6
False,True,NyanNyagi,team=41,2,31,92.247,92247,32593,19644,40010,5,2,0,0,6,5,285,1.0,0.001,0.0,7,11413,0,371,372,415,417,80,80,80,80,80,80,80,80,110,21.3,21.3,24.2,24.2,Clear,28,20,58,52232,Unknown,57.017,5.71,Soft,Soft,13,3715323.8,1,1627165.8,0.0,23.04,20.53,15.21,91,45,50,65,0,0,0,0,4
False,True,Kyoko,team=41,2,31,91.892,91892,31871,19507,40514,6,1,0,0,13,3,284,1.0,-0.001,0.0,7,11371,0,364,366,407,410,90,90,90,90,90,90,90,90,110,21.3,21.3,24.2,24.2,Clear,29,20,58,47368,Unknown,60.52,7.72,Hard,Hard,9,3793206.0,1,1510432.1,0.0,0.0,0.0,0.0,80,254,64,116,7,5,3,0,11
False,True,sakamuni2,team=41,2,31,105.42,105420,31830,19336,54254,7,2,0,0,12,4,79,0.69,-0.001,0.0,2,6982,0,700,701,712,706,52,52,54,53,70,70,70,70,110,21.3,21.3,24.2,24.2,Clear,29,20,58,45832,Unknown,60.126,7.5,Hard,Hard,0,3512754.8,0,1975788.0,0.0,0.0,0.0,0.0,147,57,51,154,0,0,0,0,10
